slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
yogamatters-yogamatters-ultra-lightweight-exercise-mat-black-box-of-6,"Yogamatters Ultra Lightweight Exercise Mat - Black - Box of 6",yogamatters,,10,,,,NBR,"Extra Thick; Non-Slip; Lightweight; Alignment Marks; Antimicrobial; Closed-Cell",,6642176721071
yogi-bare-pilates-mat,"Performance Pilates Arch Mat FSC® Certified Natural Rubber - Chocolate",yogi-bare,,5,,,,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Lightweight; Premium",,15258628718971
yogi-bare-pilates-mat-black-copy,"Performance Pilates Arch Mat FSC® Certified Natural Rubber - Milk",yogi-bare,,5,,,,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Lightweight; Premium",,15280332734843
yogi-bare-pilates-mat-black,"Performance Pilates Arch Mat.  FSC® Certified Natural Rubber - Black",yogi-bare,,5,,,,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Lightweight; Premium",,15280332538235
yogi-bare-yogi-bare-paws-yoga-pilates-mat-wild-forest,"The Original Paws Sticky Grip Yoga Mat. FSC® Certified Natural Rubber -  Wild Forest",yogi-bare,,,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,7911520108682
yogi-bare-yogi-bare-paws-yoga-mat-midnight,"The Original Paws Sticky Grip Yoga Mat. FSC® Certified Natural Rubber - Midnight Black",yogi-bare,,,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,7911519649930
yogi-bare-flow-paws-natural-rubber-extreme-grip-yoga-mat,"Flow Paws - Natural rubber extreme grip yoga mat",yogi-bare,,4,,,,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Alignment Marks",,5402465271946
yogi-bare-ever-grip-paws-warm-sand,"EverGrip Non Slip Matte Yoga Mat. FSC® Certified Natural Rubber - Warm Sand",yogi-bare,,4,,,,Natural Rubber,"Eco-Friendly; Non-Slip",,7911519846538
yogi-bare-midnight-black-ever-grip-paws-with-eyelets,"EverGrip Non Slip Matte Yoga Mat. FSC® Certified Natural Rubber - Midnight Black",yogi-bare,,4,,,,Natural Rubber,"Eco-Friendly; Non-Slip",,8262034292874
yogi-bare-ever-grip-paws-desert-rose,"EverGrip Non Slip Matte Yoga Mat. FSC® Certified Natural Rubber - Desert Rose",yogi-bare,,4,,,,Natural Rubber,"Eco-Friendly; Non-Slip",,7911519322250
yogi-bare-minimalist-black-ever-grip-yoga-mat,"EverGrip Non Slip Matte Yoga Mat. FSC® Certified Natural Rubber - The Minimalist",yogi-bare,,4,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,8288671498378
yolohayoga-aura-cork-yoga-mat-plant-foam,"Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7114270834876
yolohayoga-unity-pro-cork-yoga-mat,"Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8629327790292
yolohayoga-original-cork-yoga-mat-plant-foam,"Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7434368778452
yolohayoga-nomad-cork-yoga-mat-plant-foam,"Nomad Cork Yoga Mat",yolohayoga,,,,,,Cork,"Eco-Friendly; Non-Slip; Lightweight; Antimicrobial; Premium",,7434379034836
yolohayoga-travel-cork-yoga-mat,"Nomad Air Cork Yoga Mat",yolohayoga,,,182.88,60.96,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Premium",,7114269491388
yolohayoga-nomad-xl-cork-yoga-mat,"Nomad XL Cork Yoga Mat",yolohayoga,,,203.2,121.92,2.041168092460379,Cork,"Eco-Friendly; Non-Slip; Lightweight; Premium",,7114268475580
yolohayoga-mountain-magic-aura-cork-yoga-mat,"Mountain Magic Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7114268410044
yolohayoga-chakras-aura-cork-yoga-mat,"Chakras Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7114266738876
yolohayoga-blossom-aura-cork-yoga-mat,"Blossom Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7114267361468
yolohayoga-kids-cork-yoga-mat,"Kids Aura Cork Yoga Mat",yolohayoga,,,152.4,60.96,,Cork,"Eco-Friendly; Non-Slip; Lightweight",,7114267852988
yolohayoga-pond-of-harmony-aura-cork-yoga-mat-plant-foam,"Pond of Harmony Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7675335639252
yolohayoga-mountain-magic-unity-pro-cork-yoga-mat,"Mountain Magic Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8665471156436
yolohayoga-unity-xl-cork-yoga-mat,"Unity Pro XL Cork Yoga Mat",yolohayoga,,,213.36,116.84,,Natural Rubber,"Non-Slip",,7114270212284
yolohayoga-balance-and-unity-aura-cork-yoga-mat,"Balance and Unity Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7114269262012
yolohayoga-chakras-original-cork-yoga-mat,"Chakras Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7114266902716
yolohayoga-harmony-aura-cork-yoga-mat-plant-foam,"Harmony Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7950126842068
yolohayoga-flight-home-aura-cork-yoga-mat-plant-foam,"Flight Home Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7950127104212
yolohayoga-mountain-magic-nomad-cork-yoga-mat,"Mountain Magic Nomad Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Non-Slip; Lightweight; Antimicrobial; Premium",,7114268344508
yolohayoga-blossom-original-cork-yoga-mat,"Blossom Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7114268016828
yolohayoga-float-on-aura-cork-yoga-mat-plant-foam,"Float On Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7950128021716
yolohayoga-mountain-magic-original-cork-yoga-mat,"Mountain Magic Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7114268278972
yolohayoga-mind-of-the-universe-nomad-cork-yoga-mat,"Mind of the Universe Nomad Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Non-Slip; Lightweight; Antimicrobial; Premium",,7114265428156
yolohayoga-balance-and-unity-original-cork-yoga-mat,"Balance and Unity Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7114268967100
yolohayoga-inhale-exhale-aura-cork-yoga-mat-plant-foam,"Inhale Exhale Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,7982313111764
yolohayoga-pond-of-harmony-original-cork-yoga-mat,"Pond Of Harmony Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7675334066388
yolohayoga-solar-and-lunar-original-cork-yoga-mat,"Solar and Lunar Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7675370537172
